timestamp,time_min,temp_c,temp_hampel,temp_iqr,temp_zscore,is_outlier_hampel,is_outlier_iqr,is_outlier_zscore,zscore_abs,best_filter_agent_raw_v12,best_filter_agent_v12,best_filter_supervised_v12
2025-01-01 00:00:00,0.0,20.099342830602247,20.099342830602247,20.099342830602247,20.099342830602247,0,0,0,0.18667107057954863,zscore,zscore,N/A
2025-01-01 00:01:00,1.0,19.972347139765763,19.972347139765763,19.972347139765763,19.972347139765763,0,0,0,0.6093826291342014,zscore,zscore,N/A
2025-01-01 00:02:00,2.0,20.129537707620138,20.129537707620138,20.129537707620138,20.129537707620138,0,0,0,0.519729506978733,zscore,zscore,N/A
2025-01-01 00:03:00,3.0,20.304605971281607,20.304605971281607,20.304605971281607,20.304605971281607,0,0,0,1.5951916542752174,zscore,zscore,N/A
2025-01-01 00:04:00,4.0,19.95316932505533,19.95316932505533,19.95316932505533,19.95316932505533,0,0,0,0.25457128579592,zscore,zscore,N/A
2025-01-01 00:05:00,5.0,19.953172608610164,19.953172608610164,19.953172608610164,19.953172608610164,0,0,0,0.22340540199916706,zscore,zscore,N/A
2025-01-01 00:06:00,6.0,20.31584256310148,20.31584256310148,20.31584256310148,20.31584256310148,0,0,0,0.47347067512250746,zscore,zscore,N/A
2025-01-01 00:07:00,7.0,20.153486945830583,20.153486945830583,20.153486945830583,20.153486945830583,0,0,0,0.35385311792223756,zscore,zscore,N/A
2025-01-01 00:08:00,8.0,19.90610512281301,19.90610512281301,19.90610512281301,19.90610512281301,0,0,0,0.1770052098796244,zscore,zscore,N/A
2025-01-01 00:09:00,9.0,20.10851200871719,20.10851200871719,20.10851200871719,20.10851200871719,0,0,0,0.33076378707394966,zscore,zscore,N/A
2025-01-01 00:10:00,10.0,19.907316461437507,19.907316461437507,19.907316461437507,19.907316461437507,0,0,0,0.16121112966911205,zscore,zscore,N/A
2025-01-01 00:11:00,11.0,19.906854049285947,19.906854049285947,19.906854049285947,19.906854049285947,0,0,0,0.1663212315679822,zscore,zscore,N/A
2025-01-01 00:12:00,12.0,20.048392454313205,20.048392454313205,20.048392454313205,20.048392454313205,0,0,0,0.2726591701951899,zscore,zscore,N/A
2025-01-01 00:13:00,13.0,19.61734395106844,19.61734395106844,19.61734395106844,19.61734395106844,0,0,0,0.04098125827825298,zscore,zscore,N/A
2025-01-01 00:14:00,14.0,19.655016433497394,19.655016433497394,19.655016433497394,19.655016433497394,0,0,0,0.0028798110865308857,zscore,zscore,N/A
2025-01-01 00:15:00,15.0,13.887542494151806,19.907316461437507,19.907316461437507,19.907316461437507,1,1,1,4.427641944574355,zscore,zscore,N/A
2025-01-01 00:16:00,16.0,19.797433775933115,19.797433775933115,19.797433775933115,19.797433775933115,0,0,0,0.11652693874022525,zscore,zscore,N/A
2025-01-01 00:17:00,17.0,20.06284946651905,20.06284946651905,20.06284946651905,20.06284946651905,0,0,0,0.3305777936164284,zscore,zscore,N/A
2025-01-01 00:18:00,18.0,19.81839518489576,19.81839518489576,19.81839518489576,19.81839518489576,0,0,0,0.15249478331349794,zscore,zscore,N/A
2025-01-01 00:19:00,19.0,19.71753925973294,19.71753925973294,19.71753925973294,19.71753925973294,0,0,0,0.07311653121570622,zscore,zscore,N/A
2025-01-01 00:20:00,20.0,20.29312975378431,20.29312975378431,20.29312975378431,20.29312975378431,0,0,0,0.5281203336769942,zscore,zscore,N/A
2025-01-01 00:21:00,21.0,19.954844739902693,19.954844739902693,19.954844739902693,19.954844739902693,0,0,0,0.24699224632588654,zscore,zscore,N/A
2025-01-01 00:22:00,22.0,20.013505640937584,20.013505640937584,20.013505640937584,20.013505640937584,0,0,0,0.28862571151223165,zscore,zscore,N/A
2025-01-01 00:23:00,23.0,19.71505036275731,19.71505036275731,19.71505036275731,19.71505036275731,0,0,0,0.06859551286189788,zscore,zscore,N/A
2025-01-01 00:24:00,24.0,19.891123455094963,19.891123455094963,19.891123455094963,19.891123455094963,0,0,0,0.18358178312188755,zscore,zscore,N/A
2025-01-01 00:25:00,25.0,20.022184517941973,20.022184517941973,20.022184517941973,20.022184517941973,0,0,0,0.28054202629364855,zscore,zscore,N/A
2025-01-01 00:26:00,26.0,19.76980128451554,19.76980128451554,19.76980128451554,19.76980128451554,0,0,0,1.0256790512451397,zscore,zscore,N/A
2025-01-01 00:27:00,27.0,20.075139603669136,20.075139603669136,20.075139603669136,20.075139603669136,0,0,0,0.7143940712480668,zscore,zscore,N/A
2025-01-01 00:28:00,28.0,19.87987226201624,19.87987226201624,19.87987226201624,19.87987226201624,0,0,0,0.23866065809318718,zscore,zscore,N/A
2025-01-01 00:29:00,29.0,19.941661250041346,19.941661250041346,19.941661250041346,19.941661250041346,0,0,0,0.030304899055627624,zscore,zscore,N/A
2025-01-01 00:30:00,30.0,19.87965867755412,19.87965867755412,19.87965867755412,19.87965867755412,0,0,0,0.4057536497989531,zscore,zscore,N/A
2025-01-01 00:31:00,31.0,20.370455636901788,20.370455636901788,20.370455636901788,20.370455636901788,0,0,0,2.442382878736052,zscore,zscore,N/A
2025-01-01 00:32:00,32.0,19.99730055505241,19.99730055505241,19.99730055505241,19.99730055505241,0,0,0,0.2813459388186732,zscore,zscore,N/A
2025-01-01 00:33:00,33.0,19.78845781420882,19.78845781420882,19.78845781420882,19.78845781420882,0,0,0,0.04334769364110003,zscore,zscore,N/A
2025-01-01 00:34:00,34.0,20.16450898242064,20.16450898242064,20.16450898242064,20.16450898242064,0,0,0,0.4803505273462032,zscore,zscore,N/A
2025-01-01 00:35:00,35.0,19.7558312700058,19.7558312700058,19.7558312700058,19.7558312700058,0,0,0,0.00801899812397714,zscore,zscore,N/A
2025-01-01 00:36:00,36.0,20.04177271900095,20.04177271900095,20.04177271900095,20.04177271900095,0,0,0,0.34682440237296064,zscore,zscore,N/A
2025-01-01 00:37:00,37.0,19.608065975224044,19.608065975224044,19.608065975224044,19.608065975224044,0,0,0,0.18068513415289886,zscore,zscore,N/A
2025-01-01 00:38:00,38.0,19.734362790220317,19.734362790220317,19.734362790220317,19.734362790220317,0,0,0,0.03446954628644019,zscore,zscore,N/A
2025-01-01 00:39:00,39.0,20.039372247173823,20.039372247173823,20.039372247173823,20.039372247173823,0,0,0,0.07994900905135426,zscore,zscore,N/A
2025-01-01 00:40:00,40.0,20.14769331599908,20.14769331599908,20.14769331599908,20.14769331599908,0,0,0,0.16544825117127784,zscore,zscore,N/A
2025-01-01 00:41:00,41.0,20.034273656237996,20.034273656237996,20.034273656237996,20.034273656237996,0,0,0,0.06906271785932976,zscore,zscore,N/A
2025-01-01 00:42:00,42.0,15.976870343522354,19.93977926088214,19.93977926088214,19.93977926088214,1,1,1,3.307576477768984,zscore,zscore,N/A
